municipio,anio,temp_max,temp_min,temp_app_max,temp_app_min,lluvia_acumulada,evapotranspiracion,latitud,longitud
Ciudad Ixtepec,2023,32.88,25.11,35.26,27.44,266.3,850.26,16.3403714,-95.0555365
Ciudad Ixtepec,2024,31.67,24.52,34.41,26.96,834.1,778.67,16.3403714,-95.0555365
Ciudad Ixtepec,2025,32.03,24.7,33.98,26.11,509.6,851.94,16.3403714,-95.0555365
Ciudad Ixtepec,2026,31.97,24.0,32.92,24.88,244.8,449.01,16.3403714,-95.0555365
Ciénega de Zimatlán,2020,25.92,13.44,26.11,13.4,339.2,637.95,16.5349517,-96.4559826
Ciénega de Zimatlán,2021,25.62,13.25,25.68,13.31,549.2,631.31,16.5349517,-96.4559826
Ciénega de Zimatlán,2022,26.3,13.1,26.1,12.9,313.4,662.82,16.5349517,-96.4559826
Ciénega de Zimatlán,2023,27.47,14.08,27.47,14.35,261.6,684.31,16.5349517,-96.4559826
Ciénega de Zimatlán,2024,27.34,14.15,27.45,14.25,352.9,682.0,16.5349517,-96.4559826
Ciénega de Zimatlán,2025,26.18,13.45,26.54,13.64,358.5,650.49,16.5349517,-96.4559826
Ciénega de Zimatlán,2026,26.56,12.77,26.13,12.74,224.8,341.67,16.5349517,-96.4559826
Coatecas Altas,2020,23.31,12.16,22.69,10.98,407.5,600.55,16.3212332,-96.395393
Coatecas Altas,2021,23.08,11.79,22.35,10.69,518.3,598.2,16.3212332,-96.395393
Coatecas Altas,2022,23.47,11.56,22.55,10.31,386.8,622.63,16.3212332,-96.395393
Coatecas Altas,2023,25.15,12.66,24.27,11.78,341.8,656.15,16.3212332,-96.395393
Coatecas Altas,2024,25.63,13.09,24.91,12.04,452.9,662.32,16.3212332,-96.395393
Coatecas Altas,2025,24.39,12.69,23.72,11.97,457.1,632.72,16.3212332,-96.395393
Coatecas Altas,2026,24.76,11.86,23.36,10.52,262.4,335.57,16.3212332,-96.395393
Coicoyán de las Flores,2020,27.51,16.09,30.06,16.57,1097.3,591.39,17.1622434,-98.163394
Coicoyán de las Flores,2021,26.85,15.74,29.49,16.36,1672.4,568.84,17.1622434,-98.163394
Coicoyán de las Flores,2022,27.47,15.0,29.71,15.24,1196.0,593.9,17.1622434,-98.163394
Coicoyán de las Flores,2023,27.99,15.57,30.77,16.22,1193.3,597.09,17.1622434,-98.163394
Coicoyán de las Flores,2024,28.15,15.79,30.87,16.29,1170.1,613.45,17.1622434,-98.163394
Coicoyán de las Flores,2025,28.31,14.77,30.4,15.26,1065.4,583.3,17.1622434,-98.163394
Coicoyán de las Flores,2026,28.95,14.52,30.59,14.93,220.1,307.68,17.1622434,-98.163394
Concepción Buenavista,2020,22.18,10.93,21.74,9.77,299.9,594.17,17.524272,-97.2400839
Concepción Buenavista,2021,21.64,10.51,21.43,9.31,359.0,578.19,17.524272,-97.2400839
Concepción Buenavista,2022,22.06,10.43,21.56,9.17,263.9,604.93,17.524272,-97.2400839
Concepción Buenavista,2023,23.12,10.94,23.05,10.06,239.1,624.24,17.524272,-97.2400839
Concepción Buenavista,2024,24.08,11.15,23.62,10.12,255.6,655.23,17.524272,-97.2400839
Concepción Buenavista,2025,22.04,10.79,21.9,9.91,290.1,607.92,17.524272,-97.2400839
Concepción Buenavista,2026,22.49,9.98,21.77,8.83,205.8,315.47,17.524272,-97.2400839
