fecha,anio,municipio,latitud,longitud,temp_max,temp_min,temp_app_max,temp_app_min,lluvia_acumulada,evapotranspiracion
2026-03-14,2026,San Juan Mixtepec,16.1639142,-96.175812,18.8,9.9,19.2,9.0,6.3,3.5
2026-03-15,2026,San Juan Mixtepec,17.1820614,-97.4953209,23.0,9.9,21.5,8.5,0.1,4.17
2026-03-15,2026,San Juan Mixtepec,16.1639142,-96.175812,19.3,10.2,20.2,9.3,2.8,3.53
2026-03-16,2026,San Juan Mixtepec,17.1820614,-97.4953209,22.4,10.4,19.9,9.0,5.3,4.13
2026-03-16,2026,San Juan Mixtepec,16.1639142,-96.175812,20.8,10.3,21.5,8.9,5.1,4.04
2026-03-17,2026,San Juan Mixtepec,17.1820614,-97.4953209,19.0,7.3,19.4,5.8,8.5,3.83
2026-03-17,2026,San Juan Mixtepec,16.1639142,-96.175812,18.9,8.5,18.7,6.4,0.4,3.79
2026-03-18,2026,San Juan Mixtepec,17.1820614,-97.4953209,19.9,8.2,18.6,6.5,0.6,4.11
2026-03-18,2026,San Juan Mixtepec,16.1639142,-96.175812,19.2,8.8,18.5,6.5,0.3,3.82
2026-03-19,2026,San Juan Mixtepec,17.1820614,-97.4953209,22.2,7.2,21.2,5.5,0.1,4.96
2026-03-19,2026,San Juan Mixtepec,16.1639142,-96.175812,20.5,6.8,20.5,3.9,0.0,4.85
2026-03-20,2026,San Juan Mixtepec,17.1820614,-97.4953209,21.4,6.2,20.0,4.4,0.1,4.41
2026-03-20,2026,San Juan Mixtepec,16.1639142,-96.175812,19.3,7.8,18.9,4.7,0.0,4.36
2026-03-21,2026,San Juan Mixtepec,17.1820614,-97.4953209,19.0,6.4,18.7,4.3,2.9,3.89
2026-03-21,2026,San Juan Mixtepec,16.1639142,-96.175812,18.0,7.6,16.9,4.8,0.0,3.62
2026-03-22,2026,San Juan Mixtepec,17.1820614,-97.4953209,18.4,7.5,19.3,6.3,4.8,3.95
2026-03-22,2026,San Juan Mixtepec,16.1639142,-96.175812,17.8,6.8,17.9,4.8,3.5,3.2
2026-03-23,2026,San Juan Mixtepec,17.1820614,-97.4953209,19.6,7.2,20.3,5.8,2.5,4.15
2026-03-23,2026,San Juan Mixtepec,16.1639142,-96.175812,17.8,7.6,18.2,6.5,7.0,3.53
2026-03-24,2026,San Juan Mixtepec,17.1820614,-97.4953209,19.7,9.1,19.5,8.1,0.5,3.99
2026-03-24,2026,San Juan Mixtepec,16.1639142,-96.175812,19.1,7.8,19.2,6.0,3.0,3.69
2026-03-25,2026,San Juan Mixtepec,17.1820614,-97.4953209,21.3,7.8,19.9,6.3,0.2,4.53
2026-03-25,2026,San Juan Mixtepec,16.1639142,-96.175812,18.1,8.6,17.6,7.3,2.3,3.43
2026-03-26,2026,San Juan Mixtepec,17.1820614,-97.4953209,20.3,6.6,19.6,4.6,0.1,4.44
2026-03-26,2026,San Juan Mixtepec,16.1639142,-96.175812,19.2,7.1,18.3,4.2,0.0,4.37
2026-03-27,2026,San Juan Mixtepec,17.1820614,-97.4953209,21.3,6.7,19.3,5.0,0.0,4.6
2026-03-27,2026,San Juan Mixtepec,16.1639142,-96.175812,19.3,7.6,18.7,5.2,0.1,4.01
2026-03-28,2026,San Juan Mixtepec,17.1820614,-97.4953209,16.7,6.6,14.0,4.9,0.0,3.42
2026-03-28,2026,San Juan Mixtepec,16.1639142,-96.175812,16.0,8.6,12.6,5.1,0.3,3.02
2026-03-29,2026,San Juan Mixtepec,17.1820614,-97.4953209,17.9,6.0,16.5,4.3,0.6,3.71
2026-03-29,2026,San Juan Mixtepec,16.1639142,-96.175812,18.9,8.7,18.5,5.5,0.0,4.3
2026-03-30,2026,San Juan Mixtepec,17.1820614,-97.4953209,18.0,8.2,16.0,7.3,10.9,3.02
2026-03-30,2026,San Juan Mixtepec,16.1639142,-96.175812,18.3,7.8,17.9,5.4,9.3,3.71
2026-03-31,2026,San Juan Mixtepec,17.1820614,-97.4953209,18.8,7.1,19.6,5.2,0.8,4.25
2026-03-31,2026,San Juan Mixtepec,16.1639142,-96.175812,18.1,7.4,18.3,6.0,2.9,3.76
2026-04-01,2026,San Juan Mixtepec,17.1820614,-97.4953209,18.1,6.9,18.8,5.2,1.4,4.23
2026-04-01,2026,San Juan Mixtepec,16.1639142,-96.175812,17.2,8.5,17.1,7.0,13.1,3.47
2026-04-02,2026,San Juan Mixtepec,17.1820614,-97.4953209,22.0,6.5,20.9,4.9,0.4,4.59
2026-04-02,2026,San Juan Mixtepec,16.1639142,-96.175812,17.7,8.2,17.8,6.7,4.4,3.63
2026-04-03,2026,San Juan Mixtepec,17.1820614,-97.4953209,23.8,9.0,22.8,7.8,0.2,4.59
2026-04-03,2026,San Juan Mixtepec,16.1639142,-96.175812,18.7,7.8,19.8,6.7,2.2,4.02
2026-04-04,2026,San Juan Mixtepec,17.1820614,-97.4953209,22.2,9.0,22.2,7.9,0.3,4.47
2026-04-04,2026,San Juan Mixtepec,16.1639142,-96.175812,18.3,9.4,20.0,8.3,2.5,3.75
2026-04-05,2026,San Juan Mixtepec,17.1820614,-97.4953209,22.2,9.8,21.2,9.1,0.1,4.65
2026-04-05,2026,San Juan Mixtepec,16.1639142,-96.175812,21.4,8.6,21.4,7.0,0.9,4.14
2026-04-06,2026,San Juan Mixtepec,17.1820614,-97.4953209,21.6,9.0,21.8,8.1,0.2,4.46
2026-04-06,2026,San Juan Mixtepec,16.1639142,-96.175812,20.8,9.1,21.6,6.8,0.7,4.35
2026-04-07,2026,San Juan Mixtepec,17.1820614,-97.4953209,22.0,8.8,22.5,7.8,0.5,4.02
2026-04-07,2026,San Juan Mixtepec,16.1639142,-96.175812,19.7,9.5,19.6,7.4,1.0,4.02
2026-04-08,2026,San Juan Mixtepec,17.1820614,-97.4953209,20.9,9.5,21.3,8.6,9.2,3.57
2026-04-08,2026,San Juan Mixtepec,16.1639142,-96.175812,19.9,9.7,20.8,9.0,1.6,3.88
2026-04-09,2026,San Juan Mixtepec,17.1820614,-97.4953209,22.1,10.1,21.5,9.3,1.9,4.24
2026-04-09,2026,San Juan Mixtepec,16.1639142,-96.175812,20.7,9.0,21.5,7.8,2.1,4.31
2026-04-10,2026,San Juan Mixtepec,17.1820614,-97.4953209,22.1,10.2,21.5,9.0,1.7,4.28
2026-04-10,2026,San Juan Mixtepec,16.1639142,-96.175812,20.0,10.2,20.9,8.6,6.0,4.07
2026-04-11,2026,San Juan Mixtepec,17.1820614,-97.4953209,22.4,9.4,21.3,8.3,0.0,5.12
2026-04-11,2026,San Juan Mixtepec,16.1639142,-96.175812,22.5,9.6,22.8,7.2,0.3,4.86
2026-04-12,2026,San Juan Mixtepec,17.1820614,-97.4953209,23.9,9.1,22.5,8.0,0.0,5.26
2026-04-12,2026,San Juan Mixtepec,16.1639142,-96.175812,22.5,9.3,22.9,6.9,0.7,4.73
2026-04-13,2026,San Juan Mixtepec,17.1820614,-97.4953209,23.2,9.8,23.3,9.4,0.0,4.47
2026-04-13,2026,San Juan Mixtepec,16.1639142,-96.175812,23.6,9.1,23.3,7.0,0.0,4.97
2026-04-14,2026,San Juan Mixtepec,17.1820614,-97.4953209,24.6,10.2,24.1,9.0,0.1,4.47
2026-04-14,2026,San Juan Mixtepec,16.1639142,-96.175812,22.1,9.7,21.4,7.3,0.0,4.81
2026-04-15,2026,San Juan Mixtepec,17.1820614,-97.4953209,23.4,10.2,23.4,9.5,0.7,4.32
2026-04-15,2026,San Juan Mixtepec,16.1639142,-96.175812,22.2,10.1,23.1,8.3,1.7,3.92
2026-04-16,2026,San Juan Mixtepec,17.1820614,-97.4953209,25.9,10.7,24.6,10.2,0.0,4.84
2026-04-16,2026,San Juan Mixtepec,16.1639142,-96.175812,21.8,10.1,22.5,9.3,0.1,4.23
2026-04-17,2026,San Juan Mixtepec,17.1820614,-97.4953209,26.2,8.6,26.5,7.4,0.0,5.25
2026-04-17,2026,San Juan Mixtepec,16.1639142,-96.175812,20.3,12.1,20.9,10.9,3.1,3.33
2026-04-18,2026,San Juan Mixtepec,17.1820614,-97.4953209,25.6,8.9,26.3,7.7,0.2,5.09
2026-04-18,2026,San Juan Mixtepec,16.1639142,-96.175812,20.5,10.5,22.3,10.2,1.4,4.26
2026-04-19,2026,San Juan Mixtepec,17.1820614,-97.4953209,21.4,12.0,20.7,11.5,0.4,3.83
2026-04-19,2026,San Juan Mixtepec,16.1639142,-96.175812,19.2,12.2,20.0,10.3,3.3,3.45
2026-04-20,2026,San Juan Mixtepec,17.1820614,-97.4953209,22.5,9.2,22.7,8.5,0.1,4.63
